,Respondent,Redis,MariaDB,Elasticsearch,SQL Server,Google Cloud Storage,PostgreSQL,Apache Hive,Neo4j,MongoDB,IBM Db2,Amazon DynamoDB,Amazon RDS/Aurora,Google BigQuery,MySQL,Cassandra,Oracle,Memcached,Amazon Redshift,Apache HBase,"Microsoft Azure (Tables, CosmosDB, SQL, etc)",SQLite
72,107,,,,,,,,,,,,,,1,,,,,,,
73,111,,,,,,1,,,,,,,,,,,,,,,
74,112,,,,,,,,,,,,,,1,,,,,,,
75,113,,,,,,,,,,,,,,,,,,,,,
76,117,,,1,,,,,,,,,,,1,,1,,,,1,
77,118,,,,,,,,,,,,,,,,,,,,,
78,119,,,1,,,1,,,,,,,,1,,1,,,,,1
79,120,,,,1,,,,,,,,,,1,,,,,,,
80,122,1,,,1,,,,,1,,,,,,,,,,,,
81,123,,,,,,,,,,,,,,,,,,,,,
82,124,,,,,,,,,1,,,,,1,,,,,,,
83,125,,,,,,,,,,,,,,1,,,,,,,
84,126,,1,,,,,,,,,,1,,1,,,,,,,
85,127,,,1,1,,1,,,,,,,,1,,1,,,,,1
86,129,,,,,,1,,,,,,,,1,,,,,,,
87,131,,,,,,1,,,,,,,,,,1,,,,,1
88,132,,,,,,,,,,,,,,,,,,,,,
89,133,,,,,,,,,,,,,,,,,,,,,
90,134,,,,,,1,,,,,,,,,,,,,,,1
91,135,,,,,,,,,,,,,,1,,1,,,,,
92,136,,,,,,,,,,,,,,,,,,,,,
93,137,,,,,,,,,,,,,,,,,,,,,1
94,138,,,,,,,,,,,,,,,,,,,,,
95,140,,,,,,,,,1,,,,,1,,,,,,,
96,141,,,1,,,1,,,,,,,,,,,,,,,
97,142,,,,,,,,,,,,,,,,,,,,,
98,143,,,,,,,,,,,,,,,,,,,,,
99,146,,,,,,,,,,,,,,,,,,,,,1
100,148,,,1,,1,,,,,,,,1,,,,,,,,
101,149,,,,,,,,,,,,,,,,,,,,,
102,150,,,,,,,,,,,,,,,,,,,,,
103,151,,,,,,,,,,,,,,,,,,,,,
104,152,,1,,,,1,,,,,,,,1,,,,,,,
105,153,,1,,,,,,,1,,,,,1,,,,,,,
106,155,,,,,,,,,,,,,,,,,,,,,
107,156,,,,,,,,,,,,,,,,,,,,,
108,157,,,,1,,,,,1,,,,,,,,,,,,
109,158,,,,,,,,,,,,,,,,,,,,,
110,160,,,,1,,,,,,,,,,,,,,,,,
111,161,1,,,,,1,,,,,1,,,,,,,,,,
112,162,,,,,,,,,,,,,,1,,,,,,,1
113,163,,,,1,,,,,,,,,,,,,,,,,
114,164,,,,,,,,,,,,,,,,,,,,,
115,167,1,,,,,,,,,,,1,,1,,,,1,,,
116,168,,,,1,,,,,,,,,,1,,,,,,,
117,169,,,,1,,,,,,,,1,,1,,,,1,,,
118,170,,,,1,,,,,,,,,,,,1,,,,,
119,175,,,,,,,,,,,,,,,,,,,,,
120,177,,,,1,,,,,,,,,,,,,,,,,
121,179,,,,,,,,,,,,,,,,,,,,,
122,181,,,,,,,,,,,,,,,,,,,,,
123,182,,,,,,,,,,,,,,,,,,,,,1
124,184,,,,,,1,,,,,,,,1,,,,,,,
125,186,,,,1,,,,,,,,,,,,,,,,,
126,187,,,,,,1,,,,,,,,1,,,,,,,
127,188,,,,,,,,,,,,,,1,,,,,,,
128,189,1,,,1,,,,,1,,,,,1,,,,,,,1
129,192,,1,,,,,,,,,,,,,,,,,,,
130,194,,,,1,,1,,,1,,,,,1,,,,,,,1
131,195,,,,1,,1,,,,,,,,1,,,,,,,1
132,196,,,,1,,1,,,1,,,,,1,,,,,,,
133,198,,,,,,,,,,,,,,,,,,,,,1
134,201,,,,,,,,,1,,,,,1,,,,,,,
135,202,,,,,,,,,,,,,,,,,,,,,
136,206,,,1,1,,,,,,,,,,,,,,,,1,
137,211,,,,,,,,,,,,,,,,,,,,,
138,212,,,,,,,,,,,,,,,,,,,,,
139,213,,,,,,,,,,,,,,1,,,,,,,1
140,214,,,,1,,1,,,,,,,,1,,,,1,,,
141,216,,1,,,,,,,,,,,,1,,,,,,,
142,217,,,,,,1,,,1,,,,,,,,,,,,
143,218,1,1,,,,1,,,,,,,,,,,,,,,
144,219,,,,1,,,,,1,,,,,,,,,,,,
145,222,,,,1,,,,,,,,,,,,,,,,,
146,226,,,,1,,,,1,1,,,,,,,,,,,1,1
147,228,,,,,,1,,,,,,,,,,,,,,,
148,230,,,,,,,,,,,,,,,,,,,,,
149,231,,,,1,,,,,,,,,,1,,,,,,,
150,233,,,,1,,,,,,,,,,1,,,,,,,1
151,234,,,1,1,,,,,,,,,,1,,,,,,,
152,236,1,,1,,,1,,,1,,,,,,,,,,,,
153,237,1,,1,,,1,,,1,,,,,1,,,,,,1,
154,240,,,,,,,,,,,,,,1,,,,,,,
155,242,1,,,,,,,,1,,,,,,,,,,,,
156,243,,,,,,,,,,,,,,,,,,,,,
157,244,,,,1,,,,,,,,,,,,,,,,,
158,245,,,,1,,,,,,,,,,,,,,,,,
159,246,,,,1,,,,,,,,,,,,,,,,,
160,247,,,,1,,,,,1,,,,,1,,,,,,,1
161,248,,,,,,1,,,,,,,,,,,,,,,
162,249,,1,,,,,,,1,,,,,1,,,,,,,
163,250,,,,,,,,,,,,,,,,,,,,,
164,251,,,,1,,,,,,,,,,,,,,,,,
165,253,,,,,,,,,,,,,,,,,,,,,
166,254,1,1,,,1,,,,,,,,,1,,,,,,,
167,255,,,,1,,1,,,,,,,,1,,1,,,,,
168,256,,,,1,,,,,1,,,,,1,,,,,,,
169,257,,,,1,,,,,,,,,,,,,,,,,
170,260,,1,,,,,,,,,,,,1,,1,,,,,
171,261,,,,1,,,,,,,,,,,,,,,,,
172,263,,,,1,,,,,,,,,,,,,,,,,
173,264,,,,1,,,,,1,,,,,1,,,,,,,
174,265,,,,,,,,,,,,,,,,,,,,,
175,266,,,,,,,,,,,,,,1,,,1,,,,1
176,267,,,,,,,,,,,,,,,,,,,,,
177,270,,,,1,,,,,,,,,,1,,,,,,,
178,271,,,,,,1,,,,,,,,1,,,,,,,
179,272,,,1,,,,,,,,,,,,,,1,,,,
180,274,,,,,,,,,,,,,,,,,,,,,
181,278,,,,,,,,,,,,,,,,,,,,,1
182,279,,,,,,,,,1,,,,,,,,,,,,
183,280,,,,1,,,,,,,,,,,,,,,,,
184,282,,,,,,1,,,,,,,,,,,,,,,
185,283,,1,,,,1,,,1,,,,,1,,1,,,,,1
186,284,,,,1,1,,,,,,,,,1,,,,,,,
187,285,1,,,,,,,,,,,,,,,,,,,,
188,286,,,,1,,,,,1,,,,,1,,,,,,,
189,287,,,,,,,,,,,,,,,,,,,,,
190,289,1,,,,,,,,,,,,,1,,,,,,,
191,291,1,,,,,1,,,1,,,,,1,,,,,,,
192,293,,,,,,,,,,,,,,,,,,,,,
193,294,,,1,,,,,,,,,,,1,,,,,,,
194,295,,,1,1,,1,,,,,,,,1,,,,,,,1
195,296,,1,,,,,,,,,,,,1,,,,,,,1
196,297,,,,,,,,,,,,,,,,,,,,,
197,298,1,1,,,,1,,,1,,1,,,1,,,1,,,,1
198,299,,,,,,1,,,,,,,,,,,,,,,
199,302,1,,1,,,1,,,1,,,,,1,,,1,,,,
200,303,,,,1,,,,,,,,,,,,,,,,,
201,304,,,,,,,,,,,,,,,,,,,,,
202,305,,,,,,,,,,1,,,,,,,,,,,
203,306,,,,1,,,,,,,,,,,,1,,,,,
204,307,,,,1,,,,,,,,,,1,,,,,,,
205,308,,,,1,,,,,,1,,,,,,1,,,,,
206,310,,,,,,,,,,,,,,,,,,,,,
207,313,,,,,,,,,,,,,,,,,,,,,
208,315,1,,,,,,,,1,,,,,,,,,,,,
209,316,,,,,,,,,,,,,,,,,,,,,
210,317,,,,,,,,,,,,,,1,,,,,,,
211,318,,,,,,,,,,,1,,,,,,,,,,
212,319,,,1,1,,,,,,,,,,,,,,,,1,1
213,320,1,,,1,,,,1,1,,,,,1,,,,,,,
214,321,,,,,,,,,,,,,,,,,,,,,
215,323,,,,,,1,,,,,,,,1,,,,,,,1
216,324,,,,,,,,,,,,,,,,,,,,,
217,325,,,,,,,,,,,,,,,,,,,,,
218,327,,,,1,,,,,,,,,,1,,1,,,,,
219,328,1,1,,1,,,,,1,,1,,,1,1,,,,,,
220,330,,,,,,,,,,,,,,,,,,,,,
221,332,,,,,,,,,,,,,,1,,,,,,,
222,333,,,,,,,,,,,,,,,,,,,,,
223,334,,,,,,,,,,,,,,,,,,,,,
224,337,,1,,,,,,,,,,,,1,,,,,,,
225,338,,,,,,,,,,,,,,,,1,,,,,
226,340,,,,1,,,,,,,,,,,,,,,,,
227,342,,,,,,,,,,,,,,,,,,,,,
228,343,,,,1,,,,,,,,1,,1,,,,,,1,
229,344,,,1,,,1,,,1,,,,,1,,1,1,,,,
230,345,,,,1,,,,,1,,,,,1,,,,,,,
231,346,,,,1,,,,,,,,,,,,1,,,,,
232,348,,,,,,,,,,,,,,,,,,,,,
233,350,,,,1,,1,,,,,,,,1,,1,,,,1,1
234,351,,,1,1,,1,,,,1,,,,1,,,1,,,,
235,352,1,,,,,1,,,,,,,,,,1,,,,,
236,354,,,,,,,,,,,,,,,,,,,,,
237,355,,,,,,,,,,,,,,,,,,,,,
238,357,1,1,1,,,1,,,,,,1,,1,,,,1,,,
239,359,,,,,,,,,,,,,,,,,,,,,
240,360,,,,,,,,,1,,,,,1,,,,,,,
241,361,,,,,,,,,,,,,,,,,,,,,
242,362,,,,,,,,,,,,,,,,,,,,,
243,363,1,1,,,,1,,,1,,,1,,1,,,,,,,
244,364,1,1,1,,,,,,1,,,,,1,1,,1,,,,
245,365,,,,,,,,,,,,,,,,,,,,,
246,366,,,1,1,,,,,,,,,,,,,,,,,
247,367,,,,,,1,,,,,,,,,,1,,,,,
248,368,,,,,,,,,,,,,,,,,,,,,
249,369,1,,,,,,,,,,,,1,,1,,,,,,1
250,371,1,,,1,,,,,,,,,,1,,1,,,,,
251,372,,,,,,,,,,,,,,,,,,,,,
252,373,,,,,,,,,,,,,,,,,,,,,1
253,374,,,,,,,,,,,,,,,,,,,,,
254,377,,1,,,,,,,,,,,,1,,1,,,,,
255,378,,1,,1,,,,,1,,,,,1,,,,,,1,1
256,379,,,,,,,,,,,,,,,,,,,,,
257,380,,,1,1,,,,,1,,,,,,,,,,,,
258,382,,,,,,,,,,,,,,,,,,,,,
259,383,,,,,,1,,,1,,,,,,,,,,,,
260,384,,,,,,1,,,,,,,,1,,,,,,,
261,387,,,,,,1,,,1,,,,,,,,,,,,
262,388,,,,,,,,,,,,,,1,,,,,,,
263,389,,,,,,,,,,,,,,,,,,,,,
264,390,,,,,,,,,,,,,,,,,,,,,
265,391,,,,,,,,,,,,,,,,,,,,,
266,393,,,1,,,,,,,,,,,1,,1,,,,,
267,395,,,,,,,,,1,,,,,,,,,,,,
268,396,,,,,,,,,,,,,,,,,,,,,
269,397,,,,,,,,,,,,,,,,,,,,,
270,398,,,1,,1,,,,,,,,1,1,,,1,,,,
271,399,,,,1,,,,,,,,,,1,,,,,,,1
272,400,1,1,,,,1,,,,,,1,,,1,,,,,1,
273,401,,,,,,,,,,,,,,,,,,,,,
274,402,,,,,,,,,,,,,,,,,,,,,
275,403,,,,,,,,,1,,,,,,,,,,,,
276,404,,,,1,,,,,,,,,,1,,1,,,,,
277,405,,,,1,,,,,,,,,,,,1,,,,,
278,407,,,,1,,,,,,,,,,,,,,,,1,
279,409,,,,,,,,,,,,,,,,,,,,,
280,410,,,,1,,1,,,,,,,,1,,,,,,,
281,412,,,,,,,,,1,,,,,,,1,,,,,
282,413,,,,1,,,,,,,,,,1,,,,,,,
283,415,,,,1,,,,,,,,,,,,,,,,,1
284,416,,,,,,,,,1,,,,,1,,,,,,,
285,418,,,,,,,,,,,,,,,,,,,,,
286,419,,,,1,,,,,,,,,,,,,,,,,
287,420,,,,,,,,,1,,,,,1,,1,,,,,1
288,421,,,,,,,,,,,,,,,,,,,,,
289,422,,,,1,,,,,1,,,,,,,,,,,,
290,424,,,,,,,,,,,,,,,,,,,,,
291,425,,,,,1,,,,,,,,,,,,,,,,1
292,426,1,1,,,,,,,1,,,1,,1,,,,,,,
293,427,,,1,,1,,,1,1,,,,1,,,,,,,,1
294,428,,,,,,1,,,,,,,,1,,,,,,,1
295,430,,,,,,,,,,,,,,,,,,,,,
296,431,,,,1,,,,,,,,,,,,,,,,,
297,432,,,1,1,,,,,,,,,,,,,,,,,
298,433,,,,,,,,,,,,,,,,,,,,,
299,434,,,,1,,,,,1,,,,,,,,,,,,
300,435,1,,1,,,1,,,1,,,,,1,,,,,,,
301,436,,1,,,,,,,,,,,,1,,,,,,,
302,438,,,,1,,,,,,,,,,,,,,,,,
303,439,,1,,,,,,,1,,,,,1,,1,,,,1,
304,440,,,,,,,,,,,,,,,,,,,,,
305,443,,,,1,,,,,,,,,,1,,,,,,,
306,444,,1,,,1,,,,,,,1,,1,,,,,,,
307,445,,1,,,,,,,,,,,,1,,1,,,,,
308,446,,,,,,1,1,,,,,1,,1,,,,1,,1,
309,447,,,,,,,,,,,,,,,,,,,,,
310,448,1,1,,1,,,,,1,,,,,1,,,,,,,
311,449,,,,,,,,,,1,,,,,,,,,,,
312,452,,,1,1,,,,,1,,,1,1,1,,,,,,,
313,453,,,,,,1,,,1,,,,,,,,,,,,
314,455,,,,,,,,,,,,,,,,,,,,,
315,456,,,,,,,,,,,,,,,,,,,,,
316,458,,,,,,,,,,,,,,,,,,,,,
317,460,,,,1,,,,,,,,,,,,,,,,,
318,461,,,,,,,,,,,,,,,,,,,,,
319,462,,,,,,,,,,,,,,,,,,,,,
320,464,,,1,,,,,,1,,,,,1,,,,,,,
321,465,,,,,,,,,,,,,,,,,,,,,
322,466,,,,,,1,,,,,,,,,,,,,,,
323,467,,,,,,,,,,,,,,,,,,,,,1
324,468,1,,,,,,,,,,1,1,,1,,,,1,,,
325,469,,,,1,,,,,1,,,,,1,,,,,,,
326,470,,,,,,,,,,,,,,1,,,,,,,
327,471,,,,,,,,,,,,,,,,,,,,,
328,472,,,,1,,,,,,,,,,1,,,,,,,
329,473,,,,,,,,,,,,,,,,,,,,,
330,474,,,,,,,,,,,,,,,,,,,,,
331,475,,,,1,,,,,,,,,,1,,,,,,,
332,477,,,,1,,,,,,,,,,1,,,,,,,1
333,479,,,,,,,,,,,,,,,,,,,,,
334,481,,,,1,,,,,,,,,,,,,,,,,
335,483,1,,,,1,,,,1,,,,1,,,,,,,,1
336,484,,,,,,,,,1,,,,,,,1,,,,,
337,486,,,,,,,,,,,,,,,,,,,,,1
338,487,,,,1,,,,,1,,,,,,,,1,,,1,
339,488,1,,,,,,,1,1,,,,,,1,,,,,,
340,490,,,1,,,1,,,,,,,,,,,,,,,
341,491,,,,1,,1,,,,,,,,1,,,,,,,
342,492,,,,,,,,,,,,,,,,,,,,,
343,495,,,,1,,,,,,,,,,1,,,,,,,
344,497,,,,1,,,,,,,,,,1,,,,,,,
345,499,,,,,,,,,,,,,,,,,,,,,
346,501,,1,,,,,,,,,,1,,1,,,,,,,
347,502,,,,,,,,,,,,,1,1,,,,,,,
348,506,1,,,,,,1,,,,,,,1,,,1,,1,,
349,507,,,,,,1,,,,1,,1,,,,,,,,,
350,508,,,,1,,,,,,,,,,1,,,,,,,
351,509,,,,1,,1,,,,,,,,,,,,,,,
352,510,,,,,,,,,,,,,,,,,,,,,
353,513,,,,,,,,,1,,,,,1,,,,,,,
354,514,,,,1,,,,,,,,,,1,,,,,,,
355,515,,,,1,,,,,,,,,,1,,,,,,,
356,516,,1,,1,,,,,,,,,,1,,,,,,,
357,518,,,,,1,,,,,,,,,,,,,,,,1
358,519,,,,,,,,,,,,,,1,1,,,,,,
359,520,,,,1,,1,,,,,,,,1,,1,,,,,1
360,521,,,,,,,,,,,,,,1,,,,,,,1
361,522,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,
362,523,,,,1,,1,,,1,,,1,,,,,,,,,
363,524,,,,1,,1,,,,,1,,,,,,,,,,1
364,525,,,,,,,,,,,,,,,,,,,,,
365,526,,,,1,,,,,,,,,,,,1,,,,,
366,528,1,,,,,1,,,,,,,,,,,,,,,
367,530,,,,,,,,,,,,,,,,,,,,,
368,531,,,,,,,,,,,,,,,,,,,,,
369,533,1,,,1,,,1,,,,1,,,1,,,,,,,
370,534,,,1,,1,,,,1,,,,,1,,,,,,,1
371,535,,,,1,,1,,,,,,,,1,,,,,,1,
372,536,,,,,,,,,,,,,,,,,,,,,
373,538,,,,,,,,,,,,,,1,1,,,,,,
374,540,,,,,,,,,,,,,,,,,,,,,
375,541,,,,,,,,,,,,,,,,,,,,,
376,542,,,,,,,,,,,,,,,,,,,,,
377,543,,,,,1,,,,1,1,,,,1,,,,,,,
378,545,,,,,,,,,,,,,,,,,,,,,
379,546,,,1,,,,,,,,1,,,1,,,,,,,
380,547,,,,,,,,,,,,,,,,,,,,,
381,548,,,1,,,1,,,,,,,,1,,,,,,,
382,549,,,,1,,,,,,,,,,1,,,,,,,
383,550,,,,,,,,,,,,,,,,1,,,,,
384,551,,,,,,,,,,,,,,,,,,,,,
385,553,,,,1,,1,,,,,,,,1,,,,,,,
386,554,,,,,,,,,,,,,,,,,,,,,
387,555,,,,,1,,,,,,,,,,,,,,,,
388,556,,,,1,,1,,,,,,,,,,,,,,,
389,557,,,,,,,,,,,,,,,,,,,,,
390,558,1,,,,,1,,,,,1,,,,,,,,,,
391,560,,,,,,,,,,,,,,,,,,,,,
392,562,,,,,,,,,,,,,,1,,,,,,,
393,563,,,,,,,,,,,,,,,,,,,,,
394,564,,,,,,,,,,,,,,,,,,,,,
395,565,,,,1,,,,,,,,,,,,,,,,1,
396,566,1,,,,1,,,,,,,,,1,,,,,,,
397,567,,,,,,,,,,,,,,,,,,,,,
398,569,,,,,,,,,,,,,,,,,,,,,
399,570,,,,,,,,,,,,,,,,,,,,1,
400,573,,,,1,,,,,,,,,,,,,,,,,
401,574,,,,,,,,,,,,,,1,,,,,,,
402,575,,,,1,,,,,,,,,,,,,,,,,
403,576,1,,1,,,1,,,,,,1,,,,,,,,,
404,579,,,,1,,,,,,,,,,1,,1,,,,,
405,580,,1,,1,,,,,,,,,,1,,,,,,,1
406,583,,,,,,,,,,,,,,1,,,,,,,
407,584,,,,1,,,,,,,,,,,,,,,,,1
408,585,,1,,1,1,1,,,,,,,,1,,1,,,,,1
409,586,,,,,,,,,,,,,,,,,,,,,
410,587,1,1,1,1,,1,,1,1,,,,,1,,,1,,,,
411,588,,,,,,,,,,,,,,,,,,,,,
412,589,,,,1,,,,,,,,,,1,,1,,,,,
413,590,,,,,,,,,,,,,,,,,,,,,
414,591,,,,,,,,,,,,,,1,,,,,,,1
415,592,,,,1,,,,,,,,,,1,,,,,,,
416,593,,,,1,,,,,,,,,,1,,,,,,,1
417,594,,1,,,,,,,1,,,,,1,,,1,,,,1
418,596,1,,1,,,,,,1,,,1,,,1,,1,1,,,
419,597,,,,,,,,,,,,,,,,,,,,,1
420,599,1,,,,,,,,1,,,,,,,,,,,,
421,600,,,,1,,1,,,,,,,,1,,,,,,,
422,601,,,,,,,,,,,,,,,,,,,,,
423,602,,,1,1,,1,,,1,,,,,1,,,,,,,
424,606,1,1,,,,1,,,,,,,,1,,,,,,,
425,607,,,,1,,,,1,,,,,,,,,,,,,
426,608,,,,1,,,,,,,,,,,,,,,,,
427,609,,,,,,,,,,,,,,,,,,,,,
428,611,,,,,,,,,,,,,,,,,,,,,
429,613,1,,1,,,1,,,,1,,,,,,,,,,,
430,614,,,,1,,,,,,,,,,,,,,,,,
431,615,,,1,1,,1,,,1,,,,,1,,1,,,,,1
432,616,,1,,,,,,,,,,,,1,,,,,,,
433,618,,,,,,,,,,,,,,,,,,,,,
434,619,,,,,,1,,,,,,,,1,,,,,,,
435,620,,,,,,,,,,,,,,,,,,,,,
436,621,,,,,,,,,,,,,,,,,,,,,
437,622,,,,1,1,,,,,,,,,,,1,,,,,
438,623,,,1,1,,1,,,,,1,1,,,,,,,,,
439,624,,,,,,1,,,,1,,,,,,,,,,,1
440,626,,,,,,,,,,,,,,,,,,,,,
441,628,,,,1,,,,,,,,,,,,,,,,,
442,629,1,1,,,,,,,,,,,,1,,,,,,,
443,630,,,,,,,,,,,,,,,,,,,,,
444,631,,1,,,,1,,,1,1,,,,1,,,,,,,1
445,632,,,,1,,,,,,,,,,1,,1,,,,,
446,633,,1,,1,,,,,,,,,,1,,,,,,,1
447,634,1,,1,1,,,,,1,,,,,1,,,,,,1,
448,638,,,,,,,,,,,,,,,,,,,,,
449,639,,,,,,,,,,,,,,,,,,,,,
450,640,,,,,,,,,,,,,,,,,,,,,1
451,642,,,,1,,,,,,,,,,1,,,,,,,
452,643,,1,,,,1,,,1,,,,,1,,,,,,,
453,645,1,,,,,,,,,,,1,,1,,,,1,,,
454,646,,,,,,,,,1,,,,,1,,,,,,,
455,647,,,,,,,,,,,,,,,,,,,,,
456,651,,,,,,,,,,,,,,1,,,,,,,
457,652,,,,,,,,,,,,,,,,,,,,,
458,654,,1,,1,,,,,1,,,,,1,,,,,,,1
459,655,,,,,,,,,,,,,,,,,,,,,
460,656,1,1,1,,,1,,,1,,,,,1,,,1,,,,1
461,657,,,,,,,,,,,,,,,,,,,,,
462,659,,,,,,,,,,,,,,,,,,,,,
463,661,,,,1,,,,,1,,,,,1,,,,,,,
464,662,,,,,,,,,1,,,,,,,,,,,,
465,663,,,,,,,,,,,,,,,,,,,,,
466,664,,,,,,,,,,,,,,,,,,,,,
467,665,,,,1,,,,,,,,,,,,,,,,,
468,666,,,,,,,,,,,,,,,,,,,,1,
469,667,,1,,1,,,,,,,,,,1,,,,,,,
470,669,1,,1,,,,1,,,,,,,1,1,,,,,,
471,670,,,,,,,,,,,,,,,,,,,,,
472,671,,,,1,,,,,,,,,,,,,,,,,
473,672,1,,,,,,,,,,,,,1,,,,,,,1
474,674,,,,,,,,,,,,,,,,,,,,,
475,675,,1,,,,,,,,,,,,1,,,,,,,1
476,676,,1,,,,,,,1,,,,,1,,,,,,,
477,677,,,,,,,,,,,,,,,,,,,,,
478,678,,,,,,,,,,,,,,,,,,,,,
479,679,,,,,,1,,,,,,,,,,,,,,,1
480,681,,1,,,,,,,,,,,,1,,,,,,,
481,682,,,,,,,,,,,,,,,,,,,,,
482,685,,1,,,,1,,,,1,,,,,,,,,,,
483,686,,,,1,,,,,,,,,,,,,,,,,
484,688,,,,,,,,,,,,,,,,,,,,,
485,689,,1,,1,,1,,,,,,,,1,,,,,,,1
486,691,,1,,,,,,,,,,,,1,,,,,,,
487,692,,,,1,1,,,,1,,,,,1,,,,,,1,
488,693,,,,,,,,,,,,,,1,,,,,,,
489,694,,,,,,,,,,,,,,,,,,,,,
490,695,,,,1,,1,,,,,,,,1,,,,,,,
491,697,,,,1,,,,,,,,,,,,,,,,,
492,699,,,,,,,,,,,,,,,,,,,,,
493,700,,,,,,,,,,,,,,1,,,,,,,
494,701,,,,,,,,,,,,,,,,,,,,,1
495,704,,,,1,,,,,1,,,,,1,,,,,,,1
496,705,,,,1,,,1,,,,,,,1,,,,,,,
497,706,,,,,,,,,,,,,,1,,1,,,,,
498,708,,,,1,,,,,1,,,,,1,,,,,,,
499,709,1,,,,,,,,1,,,,,,,,,,,,
500,710,,,,,1,1,,,1,,1,,,,,,,,,,
501,711,,,,,,,,,,,,,,,,,,,,,
502,712,,,,,,,,,,,,,,1,,,,,,,
503,713,,,,,,,,,,,,,,,,,,,,,
504,714,,,1,,,,,,,,1,,,,,,,1,,,
505,715,,,,,,,,,,,,,,1,,,,,,,
