,Respondent,Engineering manager,QA or test developer,Designer,Mobile developer,System administrator,Game or graphics developer,Product manager,Data or business analyst,Educator or academic researcher,Marketing or sales professional,Back-end developer,Student,"C-suite executive (CEO, CTO, etc.)",DevOps specialist,Front-end developer,Database administrator,Data scientist or machine learning specialist,Embedded applications or devices developer,Desktop or enterprise applications developer,Full-stack developer
103,151,,,2,,,,,,,,,,,,,,,,,2
104,152,,,,,,,,,,,,,,2,,,,,,
105,153,,2,,,,,,,,,2,,,,,,,,,
106,155,,,,,,,,,,,,,,,,,,2,,
107,156,,2,,,2,,,2,,,,,,,,2,,,2,
108,157,,,,,,,,,,,,,,,,,,,,2
109,158,,,,,,,,,,,,,,,,,,,,2
110,160,,,,,,,,,,,,,,,,,,,,2
111,161,,,,,,,,,,,2,,,,,,,,,
112,162,,,,,,,,2,,,,,,,,,,,,
113,163,,,,,,,,,,,2,,,,2,,,,2,2
114,164,,2,2,2,,,,,,,,,,,2,,,,,
115,167,,,,,,,,,,,,,,,,,,,,2
116,168,,,,,,,,,,,,,,,2,,,,,2
117,169,,,,,,,,,,,2,,,,,,,,2,2
118,170,,,,,,,,,,,2,,,,2,,,,,2
119,175,,,,,,,,,,,,,,,2,,,,,
120,177,,,,,,,,,,,2,,,,2,,,,2,2
121,179,,,,,,,,,,,2,,,,2,2,,,2,
122,181,2,,,,,,,,,,,,,,2,,,,,
123,182,,,,2,,,,,,,,,,,,,,,,
124,184,,,,,,,,,,,,,,2,,,,,,2
125,186,,,,,,,,,,,,,,,,,,,,2
126,187,,,,,,,,,,,,,,,,,2,,,
127,188,,,,,,,,,,,,,,,,,,,,2
128,189,,,,,,,,,,,2,,,,,,,,,2
129,192,,,,,,,,,,,2,,,,,,,,,
130,194,,2,,2,,,,,,,2,,,,,,,2,,2
131,195,,,,,,,2,2,,,2,,,,,,2,,,2
132,196,,,,,,,,,,,2,,,,2,,,,,2
133,198,,,,2,,,,,,,2,,,,2,,,,,2
134,201,,2,,,,,,,,,2,,,,2,,,,,2
135,202,,,,,,,,,,,2,,,,,,,,,
136,206,,,,2,,,,,,,2,,,,,,2,,,2
137,211,,,2,,,2,,,,,2,,,,2,2,,,,2
138,212,,,,,,,,,,,,,,,,,,,,2
139,213,,,,2,,,,,,,,2,,,,,,,,
140,214,,,,,,,,,,,,,,,,2,2,,,
141,216,,,,,,,,2,,,2,,,,2,,,,,2
142,217,,,,,,,,,,,2,,,,,,,,,2
143,218,,,,,,,,,,,,,,,,,,2,,
144,219,,,,,2,,2,,,,2,2,,,2,2,,,,2
145,222,,2,2,,,,2,,,,2,2,,2,2,,,,,2
146,226,,,,,,,,,,,2,,,,2,,,,2,2
147,228,,,,,2,,,2,,,2,,,,2,2,,,,
148,230,,,,,,,,,,,,,,,,,2,,,
149,231,,,,,,,,,,,2,,,,2,,,,,2
150,233,,,,,,,,,,,2,,,,,,,,,2
151,234,,,2,2,,,,,,,2,,,,2,2,,,2,2
152,236,,,,,,,,,,,2,,,,,2,2,,,
153,237,,,,2,,,,,,,,,,,,,,,,
154,240,,,2,,,,,,,,2,,,,2,2,,,2,2
155,242,,,,,,,,,,,2,,,,,,,,,
156,243,,,,,,,,,,,2,,,,,,,,,
157,244,,,,,,,,,,,,,,,,,,,,2
158,245,,,,,,,,,,,2,,,,2,,,,,2
159,246,,,,,,,,,,,,,,,,,,,,2
160,247,,,,,,,,,,,2,,,,,,,,2,2
161,248,,2,,2,,,2,,,,2,,2,,,2,,,,
162,249,,,,,,,2,,,,,,,,2,,,,,
163,250,,,,,,,,,,,,,,,,,,,2,
164,251,,,2,2,,,,,,,2,,,,2,,,,,2
165,253,,,,,,,,,,,,,,,,,,,,
166,254,,,,,,,,,,,2,,,,,,,,,
167,255,,,,2,,,,,,,2,,,,,,,,2,2
168,256,,,2,,,,,,,,2,2,,,,,2,,,
169,257,,,,,,,,,,,,,,,,,,,,2
170,260,,,,,,,,2,,,2,,,,,,,,,2
171,261,,,,,,,,2,,,2,,,2,,,,,,2
172,263,,,,,,,,,,,,,,,,,,,,2
173,264,,,,,2,,,,,,2,,,2,2,2,,,,2
174,265,,,,,,,,,,,2,,,,2,,,,2,2
175,266,,,,,,,,,,,2,,,,2,2,,,,2
176,267,,,,2,,,,,,,,,,,,,2,,2,
177,270,,,,,,,,,,,2,2,,,2,,,,,2
178,271,,,,,,,,,,,,,,,,,,,,2
179,272,,,,2,,,,2,,,2,,,2,,2,,,,2
180,274,,,,,,,,,,,,,,,,,,,,2
181,278,,,,,,,,,,,2,,,,,,,,,
182,279,,2,,,,,,,,,,,,,,,,,,
183,280,,,,,,,,,,,2,,,,,,,,2,2
184,282,,2,,2,,,,,,,2,,,,2,2,,2,2,
185,283,,,,2,,,,,,,,,,,,,,,,
186,284,,,,2,,,,,,,,,,,,,,,2,2
187,285,,,,,,2,,,,,,,,,,,,,2,
188,286,,,,2,,,,,,,2,2,,,2,,,,,2
189,287,,,,,,,,,,,,,,,2,,,,,
190,289,,,,,,,,,,,,,,,,,,,,2
191,291,,,,,2,2,,,,,,2,,2,,2,,,2,2
192,293,,,,,,,,,,,2,,,,,,,,,
193,294,,,,2,,,,,,,2,,,,2,,,,,2
194,295,,,,,,,,,,,,,,,2,,,,,2
195,296,,,,2,,,,,,,,,,,,,,,,2
196,297,,,,,,,,,,,2,,,,,,,,,
197,298,,,,,,,,,,,2,,,,,,,,,2
198,299,2,,,2,,,,,,,,,2,,,,,,,2
199,302,2,,,,,,,,,,2,,2,2,,,,,,
200,303,,,,,,,2,,,,,,,,,,,,2,
201,304,,,,,,,,,,,,2,,,,,,2,,
202,305,,,,,,,,,,,2,,,,,,,,,
203,306,,,,,,,,,,,,,,,2,,,,2,
204,307,,,,,,,,,,,2,,,,2,2,,,2,
205,308,,,,,,,,,,,2,,,2,2,,,,2,2
206,310,,,,,,,,,,,,,,,2,,,,,2
207,313,,,,2,,,,,,,,,,,,,,,,
208,315,,,,,,,,,,,,,,,2,,,,,2
209,316,,,,,,,,,,,,,,,,,,,,
210,317,,,2,,2,,,,,,2,,,,2,,,,,2
211,318,2,,,,,,,,2,,2,,,,2,,2,,,2
212,319,,,,,2,,,2,,,2,,,,2,2,,,,
213,320,2,,,,,,,,,,,,,,,,2,,,
214,321,,,,,,,,,,,,,,,,,,,,2
215,323,,,,,,,,,,,,,,,2,,,,,2
216,324,,,,2,,,,,,,,,,,2,,,,,2
217,325,,,,2,,,,,,,,,,,,,,,,
218,327,,,,,,,,,,,2,,,,,,,,,
219,328,,,2,,,2,,2,,,2,,,2,2,,2,,2,2
220,330,,,2,,,,,,,,,,,,2,,,,,
221,332,,,,2,,,,,,,,,,,,,,,,
222,333,,,,,,,,,,,2,,,,,,,,,2
223,334,,,,,,,,,,,,,,,,,2,,,
224,337,,,2,,,,,,,,2,,,,2,2,,,,
225,338,,,,,,,,,,,2,,,,2,,,,,2
226,340,2,,,2,,,,,,,2,,,,2,,,,,2
227,342,,,,,,,,,,,2,,,,,,,,,2
228,343,,,2,,,,,,,,2,,,2,2,2,,,,2
229,344,,,,,,,,,,,2,,,2,2,,,,2,2
230,345,,,,,,,,,,,,2,,,,,,,,
231,346,,2,,,,,,,,,,,,,,,,,,
232,348,,,,,,,,,,,,,,,,,,,,2
233,350,,,2,,2,,,,,,2,,,,,2,,,,
234,351,,,,,,,,,,,2,,,,,,,,,
235,352,,,2,,,,,2,,,2,,,,2,2,,,,2
236,354,,,2,,,,,,,,,,,,,,,2,,
237,355,,,,,,,,2,,,2,,,,,,2,,,
238,357,,,,,,,,,,,2,2,,,,,2,,,2
239,359,,,,,,,,,,,2,,,,,,,,2,
240,360,,,2,,,,,,,,,,,,2,,,,,2
241,361,,,,,,,,,,,2,,,,,,,,,
242,362,,,2,,,,,,,,,,,,2,,,,,
243,363,,,,2,,,,,,,2,,,,2,,,,,2
244,364,,,,,,,,,,,2,,,2,,,,,,
245,365,,,,,,,,,,,2,,,,,,,,,
246,366,,,,,,,,,,,2,,,,,,,,,
247,367,2,,,,,,,,,,2,,,,,,,,2,
248,368,,,,,,,,,,,,,,,,,,,,2
249,369,,,,,,,,,,,,2,,,,,,,,
250,371,,,2,,,,,,,,2,,,2,2,,,,,2
251,372,,,,,,,,,,,,,,,2,,,,,
252,373,,,,2,,,,,,,,,,,,,,,2,
253,374,,,2,,,,,,2,,2,,,,2,2,,,2,
254,377,,,,,,,,2,,,2,,,,2,,,,,2
255,378,,,,2,2,,,,,,2,,,,,2,,,,
256,379,,,2,,,,,,,,2,,,,2,,,,,2
257,380,,,,,,,,,,,2,,,,,,,,,
258,382,,,,,,,,,,,,,,,,,,,,2
259,383,,,,,,,,,,,2,,,,,,,,,
260,384,,,,,2,,,,,,,,,,,,,,,
261,387,,,,,,,,,,,,,,,,,,,,2
262,388,,,,,,,,,,,,,,,,,,,,2
263,389,,,,,,,,,,,2,,,,,,,,,2
264,390,2,,,2,,,,,,,2,,,,2,,,,2,2
265,391,,,,,,,,,,,,,,,2,,,,,
266,393,,,,,,,,,,,2,,,,,,,,,
267,395,,,,2,,,,,,,,,,,,,,,,
268,396,,,2,2,,,,,,,,,,,,,,,,
269,397,,2,,,,,,,,,,2,,,,,,,,
270,398,,,,,,,,,,,2,,,,,,,,,
271,399,,,,,,,,,,,,,,,,,,2,,
272,400,,,,,2,,,,,,,,,2,,2,,,,
273,401,,,,,,,,,,,,,,,,,,,2,
274,402,,,,,,,,,,,2,,,,2,,,,,
275,403,,,,2,,,,,,,2,2,,,,,,,,
276,404,,,,,,,,,,,,,,,,,,,,2
277,405,,,2,,,,,,,,2,,,,2,,,,2,2
278,407,,,,,,,,,,,,,,,,,,,,
279,409,,,,,,,,,,,,,,,,,,,,
280,410,2,,,,,,,,,,2,,,,,,,,,2
281,412,,,,,,,,,,,2,,,2,,,2,,,2
282,413,,,,,,,,,,,2,,,,2,,,,,2
283,415,,,,2,,,,,,,,,,,,,,,,
284,416,,,2,2,,,,,,,2,,,,2,,,2,2,2
285,418,,2,,,,,,,,,,,,,,,,,2,2
286,419,2,,,,,,2,,,,2,,2,2,,,,,,2
287,420,,,,2,,,,,,,,,,,,,,,,
288,421,,,,,,,,,,,,,,2,,,,,,2
289,422,,2,,,,,,,,,2,2,,,2,,,,,2
290,424,,,,,,,,,,,2,,,,2,,,,,2
291,425,,,,2,,,,,,,,,,,,,,,,
292,426,,,,2,2,,,,,,2,,,,2,2,,,,2
293,427,2,,,2,,,,,,,,,,,,,2,,,
294,428,,,,,2,,,,,,2,2,,2,,,,2,,2
295,430,,2,,,,,,,,,2,,,2,2,,,,,2
296,431,,,,,,,,,,,,,,,,,,,,2
297,432,,,,,,,,,,,2,,,,,,,,2,2
298,433,,,,,,,,,,,2,,,,2,,,,,2
299,434,,,,,,,,,,,,,,,2,,,,,2
300,435,,,,,,,,,,,2,,,,,,,,,2
301,436,,,2,2,,2,,,,,2,,,,2,,,,2,2
302,438,,,,,,,,,,,2,,,,2,2,,,,2
303,439,,,,,2,,,,,,2,,,,2,2,,,2,2
304,440,,,,2,,,,,,,,,,,,,,,,
305,443,,,,,,,,,,,,,,,2,,,,,
306,444,,,,,,,,2,,2,2,,,,,,,,,
307,445,,,,,2,,,,,,,,,,,,,,,
308,446,,,,,,,,,,,2,,,,,,2,,,
309,447,,,,,,,,,,,,,,,,,,,2,
310,448,,,,,,,,,,,2,2,,,2,,,,,2
311,449,,,,,,,,,,,2,,,,,,,,,2
312,452,,,,,2,,,,,,2,,,2,2,,2,,,2
313,453,,2,2,2,2,,,,,,2,,,,2,2,,,,2
314,455,,,2,2,2,2,,,,,2,2,,,2,2,,,,
315,456,,,,2,2,,2,,,,2,,,,2,,,,2,2
316,458,,,,,,,,,,,,,,,2,,,,,
317,460,,,,,,,,,,,2,,,,2,2,,,,2
318,461,,,2,,,,,,,,,,,,2,,,,,
319,462,,,,,2,,,,,,2,,,2,,,,,2,
320,464,,,,,,,,,,,2,,,,,,,,2,
321,465,,,2,,,,,,,,2,,,,2,,,,2,
322,466,,2,,,,,,,,,2,,,,2,2,,,,2
323,467,,,,2,,,,,2,,,2,,,,,2,,,
324,468,,,,2,,,,,,,2,,,,,,,,,
325,469,,,,,,,,,,,2,2,,,2,,,,,2
326,470,,,,,,,,,,,,,2,,,,,,,
327,471,,,,2,,,,,,,,,,,,,,,,
328,472,,,,,,,,,,,2,,,,2,,,,,2
329,473,,,,2,,,,,,,2,2,,,,,2,,,
330,474,2,,,,,,,,,,,,,,,,,,,
331,475,,,,,,,,2,,,2,,,,2,,,,2,2
332,477,,2,2,2,,,,,,,2,,,,2,,,,,2
333,479,,,,,,,,,,,2,,,,,,,,,2
334,481,,,,,,,,,,,,,,,,,,,,2
335,483,,,,,,,,,,,,,,,2,,,,,2
336,484,,2,2,,,,,,,,,,,,2,,,,,
337,486,,,,2,,,,,,,,,,,,,,,,
338,487,,,,,,2,,,,,2,,,,2,,,2,2,2
339,488,,,,,,,,2,,,2,,,,,2,2,,,
340,490,,,,,,,,,,,2,,,2,,,,,,2
341,491,,,,,,,,,2,,2,,,,,2,,,,2
342,492,,,,2,,,,,,,,,,,,,,,,2
343,495,,,2,,,,,,,,2,,,,2,2,,,2,2
344,497,,,2,2,,,,,,,2,,,,2,2,,2,,
345,499,,,,,,,,,,,2,,,,,,,,,
346,501,,,,,,,,,,,2,,,,,,,,,2
347,502,,,,,,,,,,,,,,,,,2,,,
348,506,,,,,,,,,,,2,,,2,,2,,,,
349,507,,,,,2,,,,,,2,,,2,2,,,,,2
350,508,,,2,,,,,,,,2,,,,,,,,,
351,509,,2,2,,,,2,,,,2,,,,2,2,,,2,2
352,510,,,,,,,,,,,2,2,,,,,,,,2
353,513,,,,,,,,,,,2,,,,2,,,,,2
354,514,,,,,,,,,,,,2,,,,,,,,2
355,515,,,,,,,,,,,2,,,,,,,,,
356,516,,,,,,,,,,,2,,,,2,2,,,,2
357,518,,,,2,,,,,,,,,,,,,,,,2
358,519,,,,,2,,,,,,,,,,,,,,,
359,520,,,,,,,,,,,2,,,,2,,,,,
360,521,,,,2,,,,,2,,2,2,,,2,,,,2,2
361,522,,,,,,,,,,,2,,,,,,2,,,2
362,523,,,,,,,,,,,,,2,,,,,,,
363,524,,,2,,,,,,,,2,,,,2,2,,,,2
364,525,,,,,2,,,,,,2,,,,,,,,,
365,526,,,,2,,,,,,,2,,,,2,,,,2,2
366,528,,,,,,,,,,,2,,,2,,2,,,,2
367,530,,,,,,,,,,,,,,,2,,,,,
368,531,,,,2,,,,,,,2,,,,2,,,,,2
369,533,2,,2,,,,,2,,,2,,,,2,,,,2,2
370,534,,,,,,,,,,,2,,,,,,,,,
371,535,,,2,,,,,,,,2,,,,2,2,,,2,2
372,536,,,,,,,,,,,,,,,2,,,,,
373,538,,,,2,,,,,,,,,,,,,,,,
374,540,,,,,,,,,,,,,,,,,,,,
375,541,,,,,2,,,2,,,2,2,,2,2,2,2,,,2
376,542,,,2,,2,,,2,,,2,2,,,,2,,,,2
377,543,,,,2,,,,,,,2,,,,2,,,,,2
378,545,,,,,,,,,,,,,,,,,,,,2
379,546,,,,,,,,,,,2,,,,,,,,,2
380,547,,2,2,2,2,,,2,,,2,,,,,2,2,,,
381,548,,,,,,,,,,,,,,,,,,,,2
382,549,,,,,,,,,,,2,,,,,,,,,
383,550,,,,,,,,,,,2,,,,2,,,,,2
384,551,,,,,,,,,2,,,,,,,,2,,,
385,553,,,,,,,,,,,2,2,,,,,,,,
386,554,,,,2,,,,,,,,,,,,,,,,
387,555,,,,,,,,,,,2,,,,,,,,,
388,556,,,,,2,,,,,,2,,,,,2,,,,
389,557,,,,2,,,,,,,2,,,,2,,,,,2
390,558,,,,,2,,,,,,2,,,,2,2,,,,2
391,560,,,,2,,,,,,,,,,,,,,,,
392,562,,,,2,,,,,,,2,,,,2,,,,,
393,563,,,,,,,,,,,,,,,,,2,,,
394,564,,,,,,,,,,,,,,,,,,,2,
395,565,,,,,,,,,,,2,,,,2,,,,,2
396,566,,,,,,,,,,,2,,,2,2,2,,,,2
397,567,,,,,,,,,,,2,,,,2,,,2,,2
398,569,,,,,,,,,2,,,,,,,,2,,,
399,570,,,,,,,,,,,2,,,,2,,,,,2
400,573,,,,,,,,,,,,,,,,,,,,
401,574,,,,,,,,,,,2,,,,,,,,,
402,575,,,2,,,,,2,,,2,,,,,,,,2,
403,576,,,,,,,,,,,2,,,,,,,,,
404,579,,,2,,,,,,,,2,,,,2,,,,,
405,580,,,,,,,,,,,2,,,,,,,,,
406,583,,,2,2,,,,2,,,,,,,2,2,,2,,
407,584,,,,2,,,2,,,,2,,,,2,2,,,2,2
408,585,,,,,,,,,,,,,,,,2,,,,2
409,586,,,,,2,,,,,,,,,2,,,,2,,2
410,587,,,,,2,,,,,,2,,,,2,2,,,2,2
411,588,,,,,,,,,,,2,,,,,,,,,2
412,589,,,,,,,,,,,,,,,2,,,,,
413,590,,,,,,,,,,,,,,,2,,,,,
414,591,,,,2,,,,,,,,,,,,,,,,2
415,592,,,,,,,,,,,,,,,,,,,,2
416,593,,,,,,,,,,,2,,,,2,,,,,2
417,594,,,2,2,2,,,,,,2,,,,2,2,,2,,2
418,596,,2,,,2,,,,,,2,,,2,,,,,2,
419,597,2,,2,,,,,,,,,,,,,,,2,,
420,599,,,,,2,,,,,,,,,,,,,,,
421,600,,,,,,,,2,,,2,,,,,,,,,
422,601,,,,,,,,,2,,2,,,,,,,,2,
423,602,,,,,,,,,,,,,,,,,,,,2
424,606,,,,,2,,,,,,2,,,,2,2,,,2,
425,607,,2,,,,,,,,,2,,,2,2,,,,,2
426,608,,,,,,,,,,,2,,,,2,,,,,2
427,609,,,,,,,,,,,,,,2,,,,,,2
428,611,,2,,,,,,,,,,,,,,,,2,2,
429,613,,,2,,,,,,,,,,,,,,,,,2
430,614,,,2,,,,,2,,,2,,,,2,,,,2,2
431,615,,,2,,,,,,,,,,,,,2,,,,
432,616,,,,,,,,,2,,2,,,,,,,,,
433,618,,,,,,,,,,,2,,,,,,,,,2
434,619,,,,2,,,,,,,,,,,,,,,,
435,620,,,,,,,,,,,2,,,,,,,,2,
436,621,,,,,,,,,,,,,,,,,,2,,
437,622,,,,,,,,,,,2,2,,,,2,,,,2
438,623,,,,2,,,,,,,2,,,,,,,,,2
439,624,,,,2,,,,,,,,,,,,,,,,2
440,626,,,,,,,,,,,2,,,,2,,,,2,2
441,628,,,,,,,,2,,,2,,,,2,,,,,2
442,629,,,,,,,,,,,2,,,,,,,,,
443,630,,,,,2,,,,,,,,,,,,,,,
444,631,,,,,,,,,,,2,,,,2,,,,2,2
445,632,,,,,,,,2,,,2,,,,2,,,,,2
446,633,,,,,2,,,2,,,2,,,2,,2,2,,2,
447,634,,,,2,,,,,,,2,,,,,,,,2,2
448,638,,,2,,,,,2,,,2,,,,,2,,,,
449,639,,,,2,,,,,,,,,,,2,,,,,2
450,640,,2,2,2,,,,,,,,,,,2,,,,,
451,642,,,,,,,,,,,2,,,,,,,,,
452,643,,,,2,,,,,,,2,,,,2,,,,,
453,645,,,,,,,2,,,,2,,,2,2,,,,,2
454,646,,,,2,,,,,,,,,,,,,,,,
455,647,,,,2,,,,,,,,,2,,,,,,,2
456,651,,,2,,,,,,,,2,,,,2,,,,,
457,652,,,2,,,,,,,,,,,,,,,2,,
458,654,,,2,2,,,,,,2,2,2,,,2,2,,,,
459,655,,,,,,,,,,,2,,,,,,,,,
460,656,,,,,2,,,,,,,,,2,,2,,,,
461,657,,,,,,,,,,,,,,,,,,,,
462,659,,,,,,,,,,2,,,,,,,,,,
463,661,,,,,,,,,,,,,,,,,,,,2
464,662,,,,,,,,,,,,,,,2,,,,,
465,663,,,,,,,,,,,,,,,2,,,,,
466,664,,,,,,,,,,,2,,,,2,,,,,2
467,665,,,,,,,,,,,,,,,,,,,2,
468,666,,,,,,,,,,,,,,,2,,,,,
469,667,,,,,2,,,,,,,,,,,2,,,,2
470,669,2,,,,,,,2,,,,,,2,,2,,,,2
471,670,,,2,,,,,,,,,,,,,,,,,2
472,671,,,,2,,,,,,,2,,,,,,,,,2
473,672,,,,,,,,,,,2,,,,2,,,,,
474,674,,,,2,,,,,,,,,,,,,,,,
475,675,,,,,,,,,,,,,,,,,,,,2
476,676,,,,,,,,,,,,,,,,,,,,2
477,677,,,,,,,,,,,,,,,,,,,,2
478,678,,,,,,2,,,,,,,,,,,,,,
479,679,,,2,,,,2,,,,2,,,,2,,,,,
480,681,,,,,,,,,,,,,,,2,,,,,2
481,682,,,2,,,,,,,,2,,,,2,,,,,2
482,685,,2,2,,2,,,,,,2,2,,2,2,2,2,2,,2
483,686,,2,2,,2,,,2,,,2,2,,,2,2,,,2,2
484,688,,,,,,,,,,,2,,,,2,,,,,2
485,689,2,,,,2,,2,,,,2,,,,,2,,,2,
486,691,,,,,,,,,,,2,,,,2,,,,,2
487,692,,,,,,,,,,,,,,,,,,,,2
488,693,,,,,,,,,,,2,,,,,,,,,
489,694,2,,,,,,2,,,,2,,,2,,,,2,2,
490,695,,,,2,2,,,2,,2,,,,,2,,,,,2
491,697,,,,,2,,,,,,2,,,,2,2,,,2,2
492,699,,,2,,,,,,,,,2,,,2,,,,,
493,700,,,,,,,,2,,,,,,,,,2,,,
494,701,,,,2,,,,,,,,,,,,,,,,
495,704,,,,,2,,2,,,,,2,,,2,2,,,,2
496,705,,,,,,,,,2,,,,,,,,2,,,
497,706,,,,,,,,,,,2,,,,,,,,,
498,708,,,,2,,,,,,,,,,,,,,,,
499,709,,,,,,,,,,,2,,,,2,,,,,2
500,710,,,2,2,2,,2,,,,2,,,2,2,2,,2,2,2
501,711,,,,,,,,,,,2,,,,,,,,,
502,712,,,,,,,,,,,,,,,2,,,,,
503,713,,,,2,,2,,,,,,,,,2,,,,2,
504,714,,,,,,,,,,,2,,,2,2,2,,,,2
505,715,,,,2,,,,,,,,,,,,,,,,
