,0,1,2
8cb4914f42c5b805d19be0952b3c88e9,"spark,python,java",,"non-technical terms. - cares deeply about agile software practices,redshift,other amazon data to deeply understand our customers. this is one of the foremost roles in data engineering with the opportunity to reach millions of customers on one of the highest traffic consumer websites in the world. if you are passionate about data engineering,highly personalized homepage experience. we are looking for an experienced,preferably with scala,related field. - strong coding experience,collaborating with other engineers,billions of products in,description do you want to help build a highly personalized homepage that greets each of our millions of customers worldwide every time they visit amazon.com? are you interested in building data pipelines that process petabytes of customer behavior data? amazon's homepage personalization team develops,implement predictive,c++. - strong grasp of data structures,unsupervised machine learning models. - experience with collaborative filtering,machine learning scientists to design,software engineering,algorithms. - ability to explain complex issues in technical,dynamodb,researchers. - working knowledge of hadoop,explicit feedback data on our hundreds of millions of customers,movies,recommender systems. - experience running,fashion,kinesis,recommendations for amazon customers across music,ms degree in computer science,supports personalization,data driven development,other big data technologies. preferred qualifications - experience with supervised,forward thinking software engineer with a focus on data engineering to join our team. this person will work closely with other software engineers,prime video views,personalization at scale then we encourage you to apply. basic qualifications - bs,der to guide the development of a meaningful,evaluating ab tests.,everything else that amazon offers. we analyze petabytes of implicit,scalable models for everything from product recommendations to personalized mobile content layouts. you will work directly with machine learning scientists to scale up collaborative filtering models on retail purchases,prime music streams,books"
8c50099ba0e24e089c12c6e68bb2bdc6,sql,,"supervision,data analysis,outlook,development,powerpoint,excel,analysis,analyst,consulting,business analyst,manager,project"
d6920e2979999da6d892774e2be97b75,,,"(monitor,on site,(pharma,on-site ),pharmaceutical companies ),(site,monitoring ),clinical research associate ),(cra"
72e40fa6a09e015785a798433af77387,,,telecommuting not available travel not required
47d7528160f4860a7bfd6dc1b9cdefb8,,,(see job description)
065002d37b05ad5fa6478b709b94a3a4,,,"looking for two-to-three senior java developers with experience in ecommerce. strong java,m. the ideal candidate will have experience building their own e-commerce product,etc. any experience with broadleaf,pci,elasticpath,hibernate,working with an existing ecommerce site. looking for typical ecommerce experience such as pim,catalogs,konakart is a plus. my client will train on the ecommerce tools,payment gateways,spring framework,shopping carts"
b2db6c4923a59708ff6c562b08c23c73,c++,,"gps,other navigation systems,geolocation observable processing.,especially c,electrical engineering degree with experience in scientific programming"
d997f70cf7082ec18ffbb3e7c382001c,,,"procedures,knowledge of product development,including knowledge of general accounting. ability to manage a diverse range of technical operations,active secret clearance required"
6dcbe83bd781f1e952da56ed2dd9ccf9,,,(see job description)
518be0d63a29128230c7c13be225837d,"ajax,.net,css,javascript",,"vb script,xml,vb,tfs,architectural design patterns,wcf,web services,xsl,jquery"
c199a61bd8a4e16896e15bf0613bf010,javascript,react,"angular.js,node.js"
0352f0af94edb563fdee80a14965ea1d,,,"it,network,development,project,sales"
f91cae11b0c8eaf832880a328fbabbcf,"html,javascript,ajax,css",,
b9520049ff3e799ec368ae0aa99ec5f5,".net,javascript",,"oop,linux,systems,windows,ood,programming,developer,algorithms"
353f9ce7cb7c0090fd8880b0e9bf5809,,,"testing,business requirements,development,lifecycle,analyst,ms office,consulting,business analyst,project,management"
cca81977309f3d52de5201432a1a98c4,,,"24x7 production software systems,delivering mission critical,10+ years of technical management experience track record of building"
755688570dda03850c9ea9974e241110,java,spring,"j2ee,hibernate,angular js"
c099a6dd457ab308941333b4d9517485,,,(see job description)
f5ce47ef55f66c279c306ceeb5e3f01e,,,"algorithm r&d experiences,open cv,algorithm engineer,computer vision,android programming will be a plus."
4a1af0cd8f6301771b95b019e6e2407d,javascript,,node.js
763586f789e0154f6d71435112f4c502,,,"ms excel,sap apo,pharma,bw reporting,biotech"
d17149d5daf1df1d0953dbb583c0046c,,,technical infrastructure project manager
510481dba5a43cc2b77546f0dadb1ce4,,,sql reporting services suite
4117b81407f66d5b3c952ba4c4c05134,,,"procurement,project coordinator,budget"
e2cda2407a766008f5274da2cbdfa5b7,"python,shell,perl,bash",,"unix,build release engineer,linux,rhel,centos,perforce,devops engineer,system engineer,continuous integration,maven,jenkins"
c0eb27f26c6b084b018bd58b564e5594,,,"ame,projects,general ledger,workflow etc.,oracle r12 e-business,asset management"
c85fced1185e67071d928267f818dbdc,,,telecommuting not available travel not required
ac1430c579f95891ae05d2edb3f5e035,r,,"pharma,spotfire,user training,drug development,visualization sql,data extraction,biotech,scientific software,business analyst"
75296a05c107731f400d602f3e10bf47,"c++,java,python",,"engineer,linux,engineering,development,shell script,network,programming,j2ee,system,software,application"
c6f99f38bf465487323ed9d46f19514d,,,telecommuting not available travel not required
4c8b7a93f5707a08b538f4e79d6a7f30,,,(see job description)
f98f36687091e2aa5d3db5ab86c4d193,,,"able to think big,test design,execute analyses to uncover areas of opportunity,trends,will enjoy working in a fast-paced dynamic environment. he,stepping back to understand the broader context. develop solutions that utilize the highest standards of analytical rigor,develop,comfortable with ambiguity,recommendations. build scalable database solutions when required. participate in periodic reviews with amazon executive leadership team. fba leverages amazon's global fulfillment,excellent analytical abilities,inform the larger team of noteworthy story lines. collaborate with finance,adopt best practices in reporting,she will have a strong bias toward data driven decision making. he,development resource allocation. report key insights,data integrity. recognize,execute entire projects,analysis,judgment,understand a broad range of amazon's data resources,off amazon.com. fba enables customers to take advantage of free super saver shipping,including long term project planning,using statistical rigor to simplify,asia.,documentation. write high quality sql code to retrieve,manipulation,manage,execution for fba in north america,finance teams around the world. the scope for this role includes the following: identify,implementation,communication of insights,europe,analyze data. learn,modeling,amazon prime on third party items,the ability to influence cross-functional teams. he,present written business recommendations that will help shape the future of fba. drive development of quantitative models necessary for the evaluation,intense curiosity,she will work closely with marketing,customer service network for third party sellers who want to grow their business on,components of large projects from start to finish including project management,operations,validation,services. manage fee development,global fba is looking for a passionate,superior written,product management as a leader of quantitative analysis. analyze,analysis: data integrity,talented product manager to develop pricing recommendations for the global business. the ideal candidate has outstanding business acumen,she will be a self-starter,know how,strong technical skills,which to use. manage,includes strategy,while sellers can focus on selling rather than shipping. the sr. product manager will be responsible for driving analysis in an effort to improve our understanding of seller's costs globally. the role is global in scope,be creative (while paying careful attention to detail),implementation of new pricing strategies. collaborate with product managers to develop pricing recommendations for new features,synthesis,data gathering,verbal communication skills,juggling multiple projects,solve business problems at their root,when,problem solving"
1f20cc46a1df5eb235007fac5fa0cbf4,"java,python",,"linux,systems,developer,hardware,software"
8887c268f3a00f280f0eb3e935fcf923,".net,sql,c#",,"ip,multithreadin,stored procedures,tcp"
8d0ffe9061aa61fbd3fdfae28fa9e2b9,,,b2c digital product management
f374dd196ee3775c05ceedce840fe3d7,"c++,perl,python,javascript",,"performance,unix,algorithms,linux,protocols,development,libraries,systems,ip,network,programming,developer,tcp,system,software"
a6b2f856cc76dbcd75d70c8a9b54b86f,,,"sales,staffing,business development"
cf0df595863e244496a08540809e638a,,,recruiter
3071e1d037c43c96e63d87b7f798904c,,,"tech writing,sop,tech writer ),(technical writer,(standard operating procedures,work instructions,(visio ),process flows )"
3142c2dd6924df52d463d81ef93fb6e4,"java,sql",,"analyst,quality assurance,test,supervision,computer,software,quality,database,excel,programming,web,testing,scripts,vb,development,applications,project management,project,management"
aed2f48a108a9d39c3466961ebf147a2,,,(see job description)
8d9f35371d34b3482a6a9a515c286329,,,"(java developer over 2 year(s) ),(automated testing over 3 year(s) )"
a5b5889aaa3b7423cdc68643ab6cfea5,,,telecommuting not available travel not required
932052b301bed380d5a8db22d8b9fed2,,,"devops engineer,chef,jenkins"
6d08f3e06ba1695f905754f971f0397e,,,"content delivery networks,network engineering,ip video delivery,linux system admin"
5fe3df4506a6b388f0b18dfedb0702bb,,,(see job description)
ccf473b4784aca69a88b36870d6301cf,,,saas solution coupa
2c6742531c25a158afc6eca882ced60b,,,"cissp,cism,cisa"
0419d5288baa0e5a8043c674cd8562ca,"c++,c,java",,
3415841a9ac7c931ed8709e9f30adb29,,,"salesforce,consulting,scheduling,lifecycle,project management,manager,project,sales,management,telecommunications"
bd4eee9b197c066d9bff44452452c5b1,,,"demand planning,,buying,unix,system,websphere,windows,design,supply chain,applications development,oracle,db2,analysis,weblogic,sql server,aix,software,mainframe,retail"
2594d75ad80e28e32af0ff6053396e2d,"java,sql,python,javascript",,"risk management,testing,developer,development,scheduling,lifecycle,release,programming,project,http,management"
0bed3d9c4ed99d5cc1a2649f59bc2896,,,telecommuting not available travel not required
d261e7210cd7aba0cac951c7340c5e67,,,"firewall ),(routers ),(manager ),(firewalls,(cisco )"
a560c9c03ec3eb3dbf9fa881303fdf48,,,"business requirements,access,case,application,development,it,telecom,consulting,program manager,manager,project"
0445fcb37ab17f686c025da15a98de52,,,"black belt,lean six sigma green belt,mortgage,equiting lending"
f3454168b74bc184e99b6d328970c16d,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
ad80588c56547cfcfc00e9080cce9920,"sql,java,css,html",,"business requirements,iis,architecture,linux,websphere,development,vmware,analysis,windows,oracle,citrix,http,management,exchange"
eccbb9e529cc7fabd4418b8a3ef96645,"css,html",,http
7ebf4eea453a27d76815cea1034737e1,,,"cd,vnf manager,ci"
9f504454ca89f3fb54c4cdb79ef345de,"java,css,html",,"middleware,xml,ibm,j2ee,security,development,websphere,nosql,jquery,soap,architecture,developer,ssl,solr,web developer,http"
335bd5f1bb549c9d32372a43516249fe,,,point of sale system help desk manager
12f3cf7b841e50a75d7fa547cedc27a6,,,"unix,engineer,systems,access,it,telecom,windows,hardware,brocade,consulting,switches,management"
b973f9625d5a239be48b37dad4a83eac,,,see job description
bf4e39a7ae0a31857cdeb706ea07b591,,,"mis a related it field,skills & experience bachelors degree in engineering,computer science,equivalent work experience. industry certifications related to this position a plus. minim"
fe8b8c33442b7005d0734506fd152824,,,"vendor in product developmen,basic qualifications: 1+ year of mobile device testing (android,ios,or windows) is required. 1-2 years of relevant work experience working for wireless carrier"
f29766ad198b67aa7686ea3737951f12,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
4a737efc3dd5fe84a532e94b609ee484,java,,"testing,business requirements,unix,programmer,access,aml,application,development,it,software,telecom,websphere,oracle,consulting,developer,web,management"
148fb772d5a224a477904b6194199b2e,,,"sdlc,systems,access,it,development,applications,telecom,apache,computer,programming,consulting,developer,user interface,software"
0d92b51b694ef046360f989fa92a15ac,"css,html,python",agile,"manager,http"
aefcb0c109264e00e724ef9eb004a699,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
6bdcbb05eca933606a2301a8be7fa4cd,,,an ideal candidate will have: a bachelors in computer science (or equivalent) degree with 6 to 10 years of documented information security work experience demonstrated experience in
95a6252635b88c0991306754335760f4,,,"effectively interact with all stakeholders including senior leadership solid process documentation skills expert understanding of storage area networks,vmax,environments experience with vmware virtual server farms experience deploying software,backup environments experience with dr planning,firmware,written communication skills with the ability to relay technical information to a non-technical audience,equivalent 7+ years of experience in information technology engineering technical certifications associated to the chosen technological track expert working knowledge of the appropriate storage systems,unity,data domain),nutanix systems expert management experience with cisco mds zoning experience managing linux servers,including solutions from emc (vnx,updates to storage,strategies as it relates to storage,mentoring,weekend hours as necessary excellent verbal,high school diploma,concepts,avamar,physical hardware proven history of balancing multiple priorities simultaneously with the ability to adapt to the changing needs of the business while meeting deadlines flexibility to work evening,backup experience managing team projects"
e8c6430b31684c8f6ceab1305ca61888,,,"sap ecc,sap erp,ap technical lead,hana"
9c1dae8f8326ff44336cbc65c4145524,,,"contract w2,contract independent"
fe9741051b3a8971f4a1156b07ece236,,,"audit,sox,compliance,control,finance,internal control,sarbanes,sarbanes oxley"
f11d03f84c0ba0db510a05de0afd10b9,,,see job description
b5cea5202dd6f195c55dbc7b90892768,,,see job description
bb39139fe34f98132e057d2bc5f27ffc,sql,,"adobe,tableau,google,digital analytics,foresee"
0b6f00a94e0790f2ddf471e21515e30a,"java,sql",,"telecom,manager,engineer,analytical skills,access,security,computer,oracle,developer,modeling,analysis,software,sdlc,xml,data architecture,analytical,engineering,application,quality,database,programming,web,consulting,testing,architecture,it,development,applications,software engineer,project,management"
1d0397ad94837965dd86a508020ee2a4,,,"access,analytical,development,engineering,it,telecom,computer,project management,consulting,project manager,manager,project,management"
4f1a45d7883fa5b946024825f141955b,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
e140cb3a2388dc9b0d1b1641ba2c71fc,"sql,css,html",agile,"qa,testing,middleware,scripts,qa tester,development,powerpoint,excel,ms office,scrum,tester,automated,rational,project,analysis,http"
2c519dfe62470c6632c25ec8a75ab950,,,pci
af5361a430987d770572e81ca3605fe3,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
ac9366a5da02aef3cf6e724fd4eef28b,"ajax,sql",,"ios,rest api,xcode,android"
4d957ab0fc7d7379fe1a2bd824be9414,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
4630a1e50e7e85a4364bfd6ccc65edda,,,"analytical skills,access,analytical,development,it,excel,powerpoint,telecom,basic,project management,consulting,microsoft word,risk management,project,management"
43d4546d3a9420c6144572edf5a25b97,"javascript,asp,sql,.net",asp.net,"data analysis,systems,telecom,crm,api,engineer,security,developer,foundation,analysis,software,xml,application,web,consulting,access,system,it,development,applications,software engineer,management"
2ab6d749f9edbd1dd2a74fda8cd9589d,"sql,.net",,"performance,systems,telecom,change management,sql server,manager,architect,customer service,software,engineering,quality,application,analyst,consulting,access,re-engineering,architecture,it,development,applications,development manager,management"
24df038b48c96e11443e21146219995f,,,"full time,full time"
8259843f5e9f112894e7b1ee769c0a91,"css,html",,http
406f7489221ceda7333b009e4797cd74,"sas,sql",,"business intelligence,analytical skills,ibm,access,analytical,cognos,it,database,excel,powerpoint,analyst,telecom,consulting,risk management,analysis,management"
cbc53680c3051893bc8cd1d2071428a5,,,"networking,development,analysis,development manager,crm,manager,sales,management"
a639481ec469f96658393d1836df6f0f,,,"full time,full time"
16bc503453500d45ee411c5ea3a4074b,,,"qa,micro,api,architecture,access,analytical,application,applications,development,it,security,telecom,web,consulting,project,analysis,software,architect"
d831dd7060f590de3da30c6327f701f4,,,"infrastructure,pmp,it policy,best practices,network,performace management,director of is,procedures"
648b516bcb9617af02dc08c9a4a17c6e,,,"contract corp-to-corp,contract w2,full time"
db89add7e8f0b9fe3a11658e772cf158,,,"access,it,application,telecom,analyst,oracle,consulting,business analyst,analysis,system,management"
0796f7ecf53db6612b831449b844533d,,,"supervision,accounting,systems,access,analytical,application,applications,development,it,software,telecom,computer,consulting,project manager,manager,project,system,management"
a1e1bd1243cdd15a3219e0edc8a93131,java,,"machine learning,big data"
b86b83afb4564fd65a984ed9b78248c3,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
75b835ecdf3ffc91f3a65969554d88b0,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
7f3086ce0521d3915c1bca5573ea22bb,"java,css,html",agile,"qa,testing,development,project management,web design,quality center,project,http,management"
55b42f5cc49e2f719cb11676f9ffa503,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
3bb430a924c66eda4d5546ac2ff19b71,"java,css,javascript",,"testing,sdlc,xml,websphere,mongodb,development,database,db2,developer,jsp,automated,oracle,project,j2ee,analytical skills,research"
a1c9654b6cb38543e0c8198221a8b1eb,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
5c2fde27d7d26d873746b0998d88172f,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
511b78326c4d241a99c0c2a2f703b10b,"c#,c++,sql,java",,"development support,customer support,visual studio,html5,vb.net,alm"
f3950f031d1e12aefb4eb962e6f3702c,"javascript,matlab,python,java,css,html",agile,"git,security,scrum,jquery,automated,modeling,web server,analysis,apache,j2ee,research,development,soap,http,management"
77c55cb4c54b1aadf1bbbfd792b3bbdd,"sql,.net",,web services
c0ff80f6ad339715af9f7ada7b698987,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
2dfc17124af1d8001af605fa1d341603,"sql,css,html,javascript",agile,"sdlc,architecture,protocol,development,database,excel,scrum,jquery,developer,oracle,vba,analysis,http,management,sales"
65db5d632398b8634299ba76ea09e0cb,"ajax,javascript",asp.net,"css3,html5,jquery"
d731c8701123fe90c348210ea60f163c,"sql,css,html",,http
2e0188c3adbef6655b74beb8c590f7e1,,,see job description
5aada0ef4a56a998abeb675eca9409c5,,,"testing,algorithms,security,development,ios,scrum,management,tdd,ux,analysis,android"
996e6c890fba8fc4095a8e14246f8144,"javascript,java,css,html",hadoop,"linux,windows 7,supervision,security,scrum,jquery,developer,solr,apache,business requirements,os x,consulting,development,windows,project,http,management"
52534f906a523c5b0efb52230d1a4088,,,see job description
b5f44ad539b7c45ffa36f73b107f68b6,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
f029da40ad734517416361dfb5c36c74,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
de9a28799ed77e88afb33fbbba78510c,,,"contract w2,contract independent"
9ea77a372b329544620d6a9e21146cdf,"html,javascript,css",,"testing,development,ux,http,management"
4cb789a11c0af058946fa01124a53741,,,"hand on java developer,cassandra information preference java technologies,java architect"
d567b8665c22d38e071884dbea84c067,,,business analyst healthcare
01084cdc864fbf29a80def0c911944d6,,,full time
0e8adf677740570cd0a97232673fa3eb,,,"cisco ucs,windows,vmware,citrix"
e383459f6086249b588f5a4c6f5622a8,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
51fb54d1436e6e04819db57721b35f31,,,"casualty insurance experience,data analytics,property"
bd345f1d96978869f50d0c898f0f0731,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
34fd637e82f441006cccd86f44e5ffdb,"css,html",,"powerpoint,excel,ms office,architecture,microsoft word,http"
0ac290ffb8cb0f1549f36b70ac024612,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
5563ac52766cc5801438e927d2479f68,"sql,.net",,"deployment,build,release"
917b09a0761eb8d5763a74c25bedb612,javascript,"angularjs,angular,express","node.js,bootstrap"
5a1fe7107acb246f2c40cf92abade24d,sql,,"supervision,business requirements,adabas,scripts,sdlc,testing,jcl,development,release,programming,developer,sql server,quality assurance,project,analysis"
54d4e9ad597c1e24631b29ab2580a257,,,"contract corp-to-corp,contract w2,3-6 months perm potential"
4e8a8c11ff137e10f66b823776b0b732,,,"performance,architecture,access,it,development,telecom,software,engineers,developer,consulting,libraries,project,research,architect"
01d808bf998d22cf8a743c46dd855455,,,"administration,benefits assistant,customer support,associate,medicaid,benefits associate,benefits administrator,customer service,medicare,enrollment specialist,pension,benefits,call center,administrative"
12b6b02d3498a1d0432d9669a50087ef,,,"1 year,contract independent"
fe7cc689ea33768c455e9d3005d6e70a,"sql,css,html,python",,"architecture,data architecture,data modeling,mongodb,data mining,nosql,analysis,modeling,programming,postgresql,http"
7fd3441f67f66c3406e538ab337f1a66,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
713931543d0ec81e0e09d498b7258164,,,"revenue generation agreements,negotiating complex it services,outsourcing agreements,outbound procurement,sales"
f7fac0c163a247d4f85c04e3dc823a7e,"spark,java,scala,python","cassandra,hadoop,agile","infrastructure,hbase,designing,development,multi-threading,distributed applications,scalability,technical direction,big data,kafka"
944b5c7a30ac3205648337bf52d79657,,,see job description
1cd8a8e16df7f74f021ac3a17f37c478,"php,java,perl,bash",,"ibm,development,database,release,consulting,manager,project,http,management"
245c26842e68114ae5703710e22f1fe9,"java,sql,python,javascript",,"business requirements,middleware,performance,access,it,application,applications,development,telecom,specification,oracle,consulting,developer,web,web developer,software"
83548a991cd299badd6642bc5da5ff64,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
abb872ceb40ff7036881d36c5b996b96,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
f1eeb91c6aec57493384d873316ad707,,,peoplesoft elm developer:
40855bceaa4b025a4cf4c68a664b8a73,,,"reliable,including u.s. government agencies,inc. specializes in delivering secure,rapidly implemented workforce solutions to the u.s. federal marketplace,tad pgs,their prime contractors. wi"
e3cd231f363ff952d50371d05e3d72d9,,,"c2h w2,c2h independent,contract corp-to-corp,contract w2,c2h corp-to-corp"
a1dc0b59350138201f95a68123c2b473,,agile,"pmp,development,release,project manager,risk management,sales,manager,project,analysis,management"
a33ad5c41d62bcf3eacb325b86e649d2,,agile,"sdlc,management,automation,qa,soa,team development"
ab2ad69ba0515f2dc76f1f466e7b866c,"sql,javascript",,"qa,testing,business requirements,qa tester,xml,development,database,performance testing,tester,consulting,quality assurance,project,metrics"
ac21d5dbf48b813db9838a7af85e99eb,,,"jenkins,teamcity,monitoring,release,aws,cruise control,build"
ed24218723ead3518031c9691a93198d,"perl,sql",,"linux,telecom,ip,release,sql server,tcp,http,supervisor,middleware,protocols,access,computer,oracle,web server,shell scripting,capacity planning,application,database,network,apache,ecommerce,consulting,web,disaster recovery,j2ee,architecture,it,networking,e-commerce,management"
6c89f2383d72d219f2de3cd6c74b6e4e,,,see job description
89911f5569f796ea268fe2d78c5d06ae,,,"risk management,development,management,programmer"
