Respondent,amazon echo,android,apple watch or apple tv,arduino,aws,azure,drupal,esp8266,firebase,gaming console,google cloud platform/app engine,google home,heroku,ibm cloud or watson,ios,linux,mac os,mainframe,predix,raspberry pi,salesforce,serverless,sharepoint,windows desktop or server,windows phone,wordpress
78,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,
87,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,1.0
90,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0
91,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
92,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0
95,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
105,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
111,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
112,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
118,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,1.0,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
122,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
124,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,
125,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
126,,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,1.0
127,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
135,,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
148,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,
152,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
153,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
155,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
161,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,
162,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
163,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
164,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
167,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1.0,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
184,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,
186,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
187,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
188,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
189,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
194,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,
195,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
196,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
198,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
214,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,
216,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0
217,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
218,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
226,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,
231,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0
233,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
234,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0
236,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
237,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
245,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
246,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,
247,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,
248,,1.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0
249,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0
250,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
255,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0
256,,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,,
257,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0
265,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0
267,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,
272,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,
279,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,
283,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0
284,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
285,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,
286,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,
287,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
291,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
297,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,
299,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
302,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
304,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,
305,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
306,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,
307,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
308,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
310,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
315,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,1.0
316,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,1.0
318,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
319,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
320,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
324,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
325,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,
328,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0
330,,,,,,,,,,,,,,,,,,,,,,,,,,
332,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
340,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,
343,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
344,,1.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,
345,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
346,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
348,,,,,,,,,,,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
351,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
352,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,,,
354,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,
359,,,,,,,,,,,,,,,,,,,,,,,,,,
360,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
362,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
363,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
364,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
367,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,,
369,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,
372,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
373,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
374,,,,,,,,,,,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0
378,,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,
379,,,,,,,,,,,,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
382,,,,,,,,,,,,,,,,,,,,,,,,,,
383,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
384,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
387,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0
388,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
391,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
393,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
395,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
396,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
399,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,
400,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,1.0
401,,,,,,,,,,,,,,,,,,,,,,,,,,
402,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
403,,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
405,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,
407,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
412,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
413,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
415,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
416,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
420,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
425,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
426,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0
427,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
432,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
433,,,,,,,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
435,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
438,,,,,,,,,,,,,,,,,,,,,,,,,,
439,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,
440,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
443,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0
444,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,
445,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
446,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,,,,,
448,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
449,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
452,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,
453,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,
462,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,
464,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,
467,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
468,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
469,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,
470,,1.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0
471,,,,,,,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
477,,,,,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0
479,,,,,,,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
483,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
486,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
487,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,
488,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,
490,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,
491,,1.0,,,1.0,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,
492,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
495,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,
497,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,
499,,,,,,,,,,,,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
502,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,,,
507,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,
509,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
510,,,,,,,,,,,,,,,,,,,,,,,,,,
513,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
514,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0
515,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
516,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
518,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
520,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
521,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,
522,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,
523,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,
524,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,
525,,,,,,,,,,,,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,
528,,,,,,,,,,,,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,,,,,,,,,,,,
533,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0
535,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,
536,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
538,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
540,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,
541,,,,,,,,,,,,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,,,,,,,,,,,,
543,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,
546,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
547,,,,,,,,,,,,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
549,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
550,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
551,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
553,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
554,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
555,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
556,,,,,,,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,
557,,,,,,,,,,,,,,,,,,,,,,,,,,
558,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,,,,,,,,,,,,
564,,,,,,,,,,,,,,,,,,,,,,,,,,
565,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
566,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0
567,,,,,,,,,,,,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
570,,,,,,,,,,,,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
576,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,
579,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,
583,,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,
584,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
